Key,en-US,it-IT,zh-CN
Password,Password,Password,密码
LoginChangePasswordFormPasswordAlreadyUsed,Password already used,Password già utilizzata,密码已使用
PasswordAlreadyUsed,Password already used in the past,Password già utilizzata in passato,此密码在过去用过
PasswordChangedTooRecently,Password changed too recently,Password cambiata troppo recentemente,密码最近刚改过
LoginChangePasswordFormPasswordChangedTooRecently,Password changed too recently,Password cambiata troppo recentemente,密码最近刚改过
LoginFormPasswordExpired,Password expired,Password scaduta,密码已过期
PasswordTooShort,Password too short,Password troppo corta,密码过短
LoginChangePasswordFormPasswordTooShort,Password too short,Password troppo corta,密码过短
LoginChangePasswordFormPasswordsDoNotMatch,Passwords do not match,Le password non coincidono,密码不匹配
PDF,PDF,PDF,PDF
PieChart,Pie Chart,Grafico a Torta,饼图
Polygon,Polygon,Poligono,多边形
Process,Process,Processo,过程
Query,Query,Query,查询
Recipe,Recipe,Ricetta,配方
RecipeControllerRecipe,Recipe,Ricetta,配方
RecipeControllerRecipeApplied,Recipe applied,Ricetta applicata,已应用配方
RecipeControllerRecipeLoaded,Recipe loaded,Ricetta caricata,已加载配方
RecipeControllerEmptyRecipeName,Recipe name is empty,Il nome della ricetta è vuoto,配方名称为空
RecipesEditorRecipeNotFound,Recipe not found,Ricetta non trovata,未找到配方
Recipes,Recipes,Ricette,配方
RecipesEditorRecipeSchemaNotSet,RecipeSchema not set,RecipeSchema non impostato,未设置 RecipeSchema
RecipesEditorRecipeSchemaNotFound,RecipeSchema variable not found,Variabile RecipeSchema non trovata,未找到 RecipeSchema 变量
Relative allignment,Relative alignment,Allineamento Relativo,相对对齐
RelativePosition,Relative Position,Posizionamento Relativo,相对位置
Reports,Reports,Reportistica,报表
Retentivity,Retentivity,Ritentività,非易失性
RuntimeAlarms,Runtime Alarms,Allarmi a Runtime,运行时报警
RuntimeUI,Runtime UI,Grafica a Runtime,运行时 UI
Save,Save,Salva,保存
RecipeControllerSaved,saved,salvata,已保存
Scale,Scale,Scala,缩放
ScaleLayout,Scale Layout,Scale Layout,缩放布局
Select XY Chart,Select XY Chart,Seleziona grafico XY,选择 XY 图表
DropDownSelection,Selection via ComboBox,Selezione via ComboBox,通过组合框进行选择
ListBoxSelection,Selection via ListBox,Selezione da ListBox,通过列表框进行选择
SetSpeed,Set Speed,Velocità,设置速度
Severity,Severity,Importanza,严重性
SingleAndDoubleSignature,Single and Double Signature,Firma e Doppia Firma,单签名和双签名
SingleInstancesOfMyMotor,Single Instances of MyMotor,Singole Istanze di MyMotor,MyMotor 的单个实例
SourceTag,Source Tag,Tag Sorgente,源标签
SourceName,Source Variable,Variabile Sorgente,源变量
RecipesEditorStore,Store,Store,存储
RecipesEditorStoreOfSchema,Store of schema,Lo store dello schema,架构存储
StringFormatter,String Formatter,Formattatore di Stringhe,字符串格式器
Style,Style,Stile,风格
Subtitle,Subtitle,Sottotitolo,字幕
TemplateLibraries,Template Libraries,Libreria dei Templates,模板库
Text,Text,Testo,文本
These credentials will be used to login the application.,These credentials will be used to login the application.,,这些凭据将用于登录应用程序。
ReportFooter,This report has been automatically generated by FTOptix Studio,Questo report è stato generato automaticamente da FTOptix Studio,此报告已由 FTOptix Studio 自动生成
This text is in english,This text is in English,Questo testo è in Italiano,此文本为英语
Timestamp,Timestamp,Orario,时间戳
Title,Title,Titolo,标题
TopMargin,Top Margin,Margine Superiore,上边距
Top Margin,Top Margin,Margine superiore,上边距
Translation,Translation,Traduzione,翻译
Translations,Translations,Traduzioni,翻译
TransmittedEvents,Transmitted Events,Eventi Trasmessi,已传输事件
TrendQuery,Trend Query,Query su Grafico,趋势查询
TypesAndInstances,Types And Instances,Tipi ed Istanze,类型和实例
UIDesign,UI Design,Design UI,UI 设计
UnableToGetUsers,Unable to get users,Impossibile ottenere gli utenti,无法获取用户
UnsupportedOperation,Unsupported operation,Operazione non supportata,操作不受支持
LoginChangePasswordFormUnsupportedOperation,Unsupported operation,Operazione non supportata,操作不受支持
UI,User Interface,Interfaccia Utente,用户界面
UserNotFound,User not found,Utente non trovato,未找到用户
LoginChangePasswordFormUserNotFound,User not found,Utente non trovato,未找到用户
Username,Username,,用户名
UsernameAlreadyExists,Username already exists,Nome utente già esistente,用户名已存在
UsersEditor,Users Editor,Editor Utenti,用户编辑器
UsersLogin,Users Login,Login Utenti,用户登录
UsersManagement,Users Management,Gestione Utenti,用户管理
AnimationsOnBehavior,Value Change Animation,Animazione su Cambio Evento,值变化动画
Vertical Layout,Vertical Layout,Layout verticale,垂直布局
Video,Video,Video,视频
WebBrowser,Web Browser,Web Browser,Web 浏览器
LoginChangePasswordFormWrongOldPassword,Wrong old password,Vecchia password errata,旧密码错误
X Axis,X Axis,Asse X,X 轴
XYChart,XY Chart,Grafico XY,XY 图表
Y Axis,Y Axis,Asse Y,Y 轴
Your password is expired. Please enter a new one,Your password is expired.\nPlease enter a new one.,Password scaduta.\nInserirne una nuova.,密码已过期。\n请输入新密码。
Zone 1 (°F),Zone 1 (°F),,区域 1 （°F）
Zone1,Zone 1 (°F),,区域 1 （°F）
Zone 2 (°F),Zone 2 (°F),,区域 2 （°F）
Zone2,Zone 2 (°F),,区域 2 （°F）
Zone 3 (°F),Zone 3 (°F),,区域 3 （°F）
Zone3,Zone 3 (°F),,区域 3 （°F）
Zone 4 (°F),Zone 4 (°F),,区域 4 （°F）
Zone4,Zone 4 (°F),,区域 4 （°F）
